country,PMD,HAD,OZD,USD,UWD,PBD,MSW,TBN,TBG,MPA,PAR,SHI,SPI,BHV,TCL,GRL,WTL,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,SNM,WWT
Canada,94.8,100,53,83.9,90.8,96.6,84.7,62.8,67.5,27,28.8,81.2,98.2,82.4,26.7,60.2,61.7,59.9,84.4,91.6,58.3,78.2,62,50.6,2.7,100,100,67.3,67.4
Switzerland,87.8,100,46.4,100,100,95,99,44.7,53.3,74.9,69.6,85.8,100,52.9,46.1,65.6,31.6,76,100,93.1,91.9,100,71.8,62,41.5,100,100,47.6,96.7
Chile,53,59.5,62.1,70.1,66.7,97.8,65.7,61.2,44.6,100,31.9,88.3,53.1,68.4,25.2,55.7,41.9,43.5,79.8,77.9,100,20,54.9,46.2,39.2,50.5,18.7,40.2,71.9
China,23.4,33,20.3,61.1,58.2,37.6,51.8,4.6,8.5,1.6,20.2,72.2,10.4,57.6,32.6,56.1,43.7,38.7,39.3,88.9,57.2,38,35.7,77.3,27.7,75.8,41.5,49.5,9.4
Cote d'Ivoire,25.9,10.6,36.3,17.7,16.9,44.9,2.1,100,98.1,1,45.1,32.3,95.1,49.6,11.8,46.3,55.2,6.6,40.4,89.6,42.6,15.2,44.3,43.5,91.7,40.4,23.3,32,0.6
Cameroon,16.4,14.7,29.6,8.3,7.4,36.1,10.2,57.5,68,0,27.4,85.3,59.4,63.1,30.3,47.8,35.8,50.5,100,100,62.4,77.3,25.9,79.7,80.7,39.1,40.4,40.4,0
Dem. Rep. Congo,45.4,9.8,21.7,13.9,13.2,36.1,3.5,80.6,79.8,71.5,27.7,78,86.2,74,25.2,49.2,51.5,25.9,56.9,89.4,73.2,42.1,38.7,82,100,45.4,50.2,31.7,0
Republic of Congo,20,18.7,30.1,14.9,14.4,45.1,0,100,100,17.1,27.6,93.3,88.4,73.3,36.2,28.3,36.2,8.3,100,89.5,58.1,0,32.9,63.5,68.8,0,0,34.3,0.3
Colombia,50.1,46,62.5,64.6,49.9,61.9,100,83.3,77.3,100,52.2,68.9,69.3,56.4,33.3,62,66.6,39.1,90.3,81,98.2,25.8,70.5,57.2,57.2,58.5,46.4,22.3,25.6
Comoros,54.7,11.5,60.1,15,15.3,47.1,0,60,60,0.2,14.1,26.4,59.3,35.6,32.1,100,100,35.3,25,89.5,59.8,53.5,0,28.8,100,47.4,41.6,37.3,0.1
Cabo Verde,21.4,30.3,50.9,37.2,34.4,59.5,0,16.9,16.9,0,2.1,0,26.2,45.2,100,87.4,100,30.6,54.7,95.4,100,56.4,0,15.2,77.3,44.7,25.6,16.7,20.9
Costa Rica,57.4,54,61,82.5,55.2,53.8,64.8,99,98,23.2,56.2,72.8,88.5,43.4,34.3,58.3,33.9,43.3,63.4,89.6,45.7,86.5,83.2,45.5,63.3,55.1,12.1,19.4,9.7
Cuba,47.1,63.1,56.3,55.2,45.9,48.3,25.9,58.9,69.3,15.1,33.5,95.7,45,50.1,21.3,65.5,55.2,49,93,89.5,69.5,100,93.5,46.1,48.4,62.5,89.6,21.4,3.6
Cyprus,58.8,97.7,34.2,97.5,91.6,69.4,77.5,100,100,0.5,14.6,32.3,87.6,36.4,37.7,54.9,38.8,59.3,56.5,94.6,76.1,100,43.5,37.9,31.2,100,83.1,27.7,50
Czech Republic,49.1,74.5,40.7,93.5,65,76.4,89.5,100,100,100,49.4,87,100,48.9,24,75.6,26.8,73.9,84.7,83.5,99.2,97,50.8,60.7,20.4,100,100,58.7,60.8
Germany,70.4,100,46.4,100,98.4,90.7,97.9,100,100,100,56.4,86.1,99.9,45.6,38.2,65.4,40.2,60.6,100,94.6,82.4,92.1,69.1,52.2,23.2,91.9,100,61.9,97
Djibouti,16.7,25,38.2,18.6,18.1,46.2,0,7.8,7.8,1.8,7.6,90.9,32.9,64.3,46.1,47.8,100,23.8,57.6,73.9,66.1,64.2,25.1,100,74.8,70,41,15.7,0
Dominica,38,45.7,100,53.7,43.3,52.8,62.4,80.2,85,0.4,75.2,85.6,37.2,44.3,0,100,43.4,51.9,74.5,86.9,61.2,42.5,82.5,20.6,63.5,42.3,52.3,17.8,1
Denmark,78.8,100,43.1,100,95.7,100,99.8,85.9,85.9,100,34.9,93.4,100,44.5,26.2,72.7,60.6,100,100,100,69.7,100,61.9,82.8,31.8,100,100,73,100
Dominican Republic,34.8,37.8,63.3,44.7,35.1,30,5.7,91.5,99,100,39.6,64.6,87.2,44.1,23.7,63.4,43,50.1,59.6,86.9,59.8,91,60.6,69.2,59.1,85.7,72.9,24.2,5.8
Algeria,21.9,78.9,33.2,59.6,49,38.9,91.6,43.2,45.9,0.6,7.1,80.7,47.3,75.4,17.3,69.2,100,36.6,100,90.7,28.4,61,28.7,41,44.6,100,23.5,44.8,33.1
Ecuador,46.2,50,66,55.7,46.5,63,53.6,91,77.4,100,47.4,74.3,66.1,48.9,38.6,36.2,34.4,45.7,97.4,89.7,82,34.7,55.5,56.1,55.9,25.2,31.6,29.2,0
Egypt,0,85,24.9,36.7,36.6,13.5,16.3,75.4,42.4,10.3,10.6,97,65.1,77.1,61.1,100,50.6,52.9,54.9,93.1,55.8,18,21,53.4,60.4,54.3,58.4,53,42
Eritrea,29.9,10.3,30.6,6.3,6.3,38.3,0,28.9,28.1,0,10.7,97.3,55.8,59.6,100,42.9,100,29.5,62.1,90.4,62.2,46.1,29.8,100,95,64.2,49.9,22.3,0
Spain,83.3,81.3,37.7,100,94.6,71.3,89,100,100,100,46.7,90.1,98.1,40.8,21.9,56.9,35.5,64.4,86.1,100,63.8,100,45.4,53.3,35.5,100,100,36.2,91.5
Estonia,95.7,60.2,72.1,66.1,59,87.4,74.4,100,100,100,31.3,78.2,100,60.5,17.1,63.1,77.7,47.5,100,90.4,56.4,50.9,52.7,41.1,5.7,100,93.3,51.8,69.6
Ethiopia,58.4,10.5,33.5,10.6,11.2,35.8,0,82.8,76.5,78.1,26.1,95.5,81,56.7,40.5,53,60.3,1.5,32.6,89.4,37.3,35.5,40.2,94.8,83.5,26.1,21.2,53.3,0
Finland,100,100,75.3,100,100,100,97.7,72.8,72.8,100,26.4,61.6,99.6,75.8,18.4,49,35,74.3,100,93.3,63.8,75.1,64.5,56.1,18.7,100,86.2,52.4,100
Fiji,31.5,22.6,73.9,38.8,31.9,77,40,14.4,9,9.5,6.1,88.6,19,72.1,38.1,95.9,100,18.6,79.1,69.4,65.3,67.7,53.9,31.4,61.2,100,6.5,11.1,3.9
France,82.2,100,58,100,93.6,84,94.8,100,100,100,50.2,88.6,100,43.8,33.6,70.6,45,79.5,100,93.9,69.5,100,61.3,56.7,36.7,100,100,65.2,88
Micronesia,31,17.4,100,39.4,32.9,41.5,0,0,0,0.1,3,6.4,3.3,51.7,100,100,100,31.9,57.3,73.9,45.7,77.8,52.7,0,72,92.5,25,19.4,0.1
Gabon,16.1,42.2,49.5,28.4,27.1,54.1,0,89.9,95.2,100,30.7,96.6,90.6,71.5,44.7,42.8,45.2,49.6,100,89.8,52.7,52.9,42.7,100,49.3,91,89.4,20.6,0
United Kingdom,75.4,100,64.5,100,100,94.6,92.9,98.4,97.9,100,50.7,92.1,100,44.7,24,72.8,60.6,92.6,100,96.9,73,100,35.5,79.3,35.1,100,100,54.3,98.5
Georgia,31.9,29.3,37.5,50.9,52.2,49.9,0,53.7,53.7,0,28.8,95.4,75.8,47.4,81.5,51.6,41.6,35.9,82.3,83.9,40.1,26.5,100,45.9,59.5,0,1.8,16.9,46.6
Ghana,17.1,17.8,29.2,21.5,20.3,55.3,0,78.9,84.3,1.1,38.8,84.5,88.9,48.4,13.7,43.8,17,10.6,33.5,89.6,37.7,41.9,44.4,48.4,89.9,45.1,17.8,41,0
Guinea,37.8,6.1,30,11.7,10.9,32.9,2.5,99.7,88.2,0,18.3,83.1,71.6,50.5,9.4,9.4,50.4,30.2,5.2,86.9,19,42,0,36.7,72.7,18.3,41.6,35,0
Gambia,32.7,10.5,33.3,19.6,18.9,37.1,0,23.2,31.7,0,30.1,90.1,48.3,47.5,40.7,33.7,55.6,24,52.3,89.8,78.9,42.6,57.7,25.6,93.8,55.9,51.8,36.1,0.1
Guinea-Bissau,32.8,6.4,29.2,7,6.5,28.5,0,90.9,99.4,59.3,28.7,69.4,73.3,51.3,16,54.6,100,24.5,47.8,89.6,44.3,56.4,14,42.1,85.1,63.7,48.5,27.5,0
Equatorial Guinea,17.6,32.8,36.8,38.6,29.5,40.1,0,100,100,1.9,35.7,82.1,75.6,63.1,30.7,100,21.3,33.3,100,86.9,74,76.3,3.7,0,24.7,77.8,74.9,28.1,1.2
Greece,57.6,84,43.4,95.5,100,69.4,83,100,100,40.5,32.1,89.7,86,37.2,42.8,62.9,44.1,58.5,88.6,90.3,82.5,80.7,67.5,28.8,27.4,85.8,72.1,52.6,81.7
Grenada,31.3,54.2,79.8,51.2,44.2,41.9,78.8,51.2,18.7,1,67.1,46.8,2.5,42.9,40.2,49.5,100,57.8,54.7,94.2,28.3,32.3,100,49.7,63.4,35.9,44.1,28.9,0.9
Guatemala,41.2,21.7,59.2,29.9,27.1,30.6,16.6,76.6,50.2,0.2,53.4,0,56.8,49.4,18,39.6,26.7,26.5,43.6,89.6,34.5,0,72.1,24.7,76.9,69.6,20.1,28.7,6.8
Guyana,20.6,39.1,100,39.4,32.5,24.9,44.2,48.9,56.5,0,78.2,94.5,57.8,69.2,50.6,85.8,49.7,36.3,28.1,89.8,70.6,45.7,44.1,44.4,42.7,23.4,33.8,40.2,0
Honduras,46.9,19.4,35.6,33.2,30.8,20.7,40.3,79.9,79.4,39.6,52.4,24.2,75.2,49.3,16.9,58.5,61.4,37.7,62.8,89.4,36.9,33.5,54.2,38.5,74.8,65.4,56.4,27.5,3.1
Croatia,46.4,58.3,39,80.8,63.1,75.1,80,100,100,74.9,44.5,88.9,100,42.6,39,49.3,55.6,59.4,93.2,93.4,100,80.7,62,49.7,38.9,100,81.7,65.4,51.7
Haiti,47.5,7.8,37.1,14.4,13.8,12.1,0.9,38.3,53.7,6.9,30.9,44.1,31.1,41,22.8,67.9,46.4,34.8,29.5,89.4,60.7,45.7,41.6,23.2,86.4,36.9,10.6,31.4,0
Hungary,43,43.7,33.5,64.7,60.5,68.2,89.2,100,100,100,30.8,88.5,100,37.1,24.7,76.1,43.4,66.4,100,89.8,23.2,94.2,56.3,52.5,35.8,93.8,100,73.1,53.8
Indonesia,28.6,23.3,33.9,33.9,24.8,34.6,49.8,66.2,83.3,29.6,20.2,46.8,71.7,66.2,19,43.8,44.2,52.1,30.2,100,51,57.1,41.2,67.6,58.5,68.3,12.6,51.8,0
India,10.9,18.6,0,21.4,18.1,21,16.1,28.2,37,1.2,8.7,85.9,63,46.3,31.8,47.8,55,28.1,68.3,91,56.8,32.2,40,62.2,66.5,42.4,31.8,34.7,2.2
