country,PMD,HAD,OZD,USD,UWD,PBD,MSW,TBN,TBG,MPA,PAR,SHI,SPI,BHV,TCL,GRL,WTL,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,SNM,WWT
Niger,48.6,5.4,28.5,1.3,1.6,27.3,1,85.5,83.9,71.3,25.6,89.8,92.6,73.8,100,53.1,100,2,23.3,89.6,19.2,23.5,0,49.4,81.9,0,1.9,33.6,0
Nigeria,21.4,11.7,30.9,6,4.2,51.5,7.7,78.3,62.1,0,32.3,83.9,89,50.4,20.6,38,59.4,36.1,84.4,89.8,33.5,37.1,28,61.5,80.9,73.6,59,39,0.2
Nicaragua,53.5,24.1,51.4,43.9,42,34.5,11.4,93.1,93.9,7.5,68.4,0,89.5,48.9,15.7,54.9,64.1,37.6,29.8,86.9,22.2,52.1,60.5,43.8,65.2,96.5,64,24.1,0
Netherlands,72.8,100,47.5,100,100,95.1,100,99.8,93.5,100,39,78,94.1,39.3,40.6,82.7,41.5,57.8,100,100,14,85.1,64.1,40.9,17,100,100,40,100
Norway,100,100,58.7,100,100,94,97.6,81.6,83,43.8,47.7,92.7,86.7,71.3,30.5,56,38,72.5,100,100,79,100,54.7,67.9,13.3,100,98.4,39.3,64.3
Nepal,16.3,14.1,0,29,25.7,27.2,30.5,76.3,45.7,55.8,27.5,97.5,84.2,47.6,65.8,73.4,100,0,66.5,89.4,32.9,65.8,81.1,45,85.5,39.2,49.5,45.8,0
New Zealand,100,97.6,67.4,89.4,74.4,75.5,68,91,90.9,100,56.5,81.2,81.1,57.2,24.9,60,56.6,51.4,85.7,89.5,65.4,78.1,61.5,51.5,5.5,100,74.7,57.5,79.9
Oman,11.7,70.8,32.7,76.2,46.3,37,0,15.1,14,0.4,3.5,99.4,42.6,77.2,44.5,100,34.1,26.2,46.4,89.6,6.1,0,0,27,2.7,100,19.9,50.6,13.4
Pakistan,8.5,12.9,1.3,20.9,15.1,23,31.1,62,55.1,6.9,9.4,85.6,62,56.2,83.7,56.2,54.4,42.7,40.3,95.9,45.1,57.4,92.2,45.1,73.9,60.9,56.7,35.1,0.1
Panama,61.7,47.3,62.7,46.5,41.6,57.5,42,92.7,75.3,9.3,44.8,80.3,78.9,45.8,33,45.1,24.2,36,88.7,89.8,71.7,32.2,73.6,72.9,56.6,72.4,59.9,25.6,23.1
Peru,47.6,40.4,72.9,43.7,42.6,68.2,30,85.6,81.7,1.6,56.7,74.7,67.9,58.1,35.6,55.5,43,27.9,58.1,89.7,60.3,16.6,36,41.4,59.4,69.1,12.9,37.1,46.4
Philippines,34.2,19.7,75.4,45.9,34.3,48,17.4,87.5,92.2,9.3,23,42.6,74.2,48.5,28.1,100,100,21.5,65.9,95,54.7,66.4,42.9,52.1,74.1,84.8,51.9,44.1,0.7
Papua New Guinea,49.4,4.8,95.3,15.4,15.6,60.3,43.9,17.9,11.6,1.2,13.3,94.6,25.4,78.3,34,38.4,43.7,27.6,74.2,90.1,68.7,49.8,37.4,68,79,75.2,41.1,31.3,0
Poland,40.7,49.7,48.7,80.9,65.6,65.3,91.1,100,100,100,48.3,92.5,100,48.9,23.9,65.8,45.7,61,72.4,86.1,83.7,66.2,55.5,59.9,20.6,100,79.3,57.4,60.9
Portugal,86.4,85.8,51.6,80.3,85.5,65.3,90.2,100,100,41.1,42,72.8,94.1,38.6,2,70.5,41.5,57.9,91.1,67.4,83,94.2,45.3,6.1,28.1,100,87,22.3,55
Paraguay,59,30.5,46.8,51.1,45.1,51.2,35,82.9,84.1,45.9,19.9,0,85.4,63.4,16.6,54.8,49.3,38.8,36.5,89.6,27.8,81,48.6,45.8,42.5,98.3,42.8,77.9,0.7
Qatar,13,100,28.5,81,56.8,59.2,60.2,63.4,63.4,0,3.1,76.5,2.8,76.4,18.2,14.8,0,11.1,0,69.4,0,0,67.6,90.8,0,93.2,35.6,26.6,70
Romania,41.1,44.7,63,56.8,55.3,51.4,65.8,96.3,97.6,100,34.7,84.9,98.2,44.2,38.4,60.5,66.6,83.2,100,89.2,100,62.4,70.9,78.7,45.2,100,100,65.7,30.4
Russia,46.9,63.7,56.2,55.1,55.7,72.2,3.2,52.9,56.4,18,22.5,89.5,94.9,79.4,26.3,55.1,43,56.9,59.8,86,52.7,100,53.9,36.2,9.2,75.7,86.3,60.5,18.5
Rwanda,45.2,11.8,26.3,16.9,16.9,45.2,0,51.5,54.7,43.8,29.5,94,76,47.3,26.3,36.7,57.9,14.2,50.6,89.4,41,51.9,34.1,71.5,100,52.8,48.2,39.4,0
Saudi Arabia,10,76.2,29,71.9,50.9,35.4,61.4,28,28,20.7,6,97.5,56.6,74.2,100,38.5,100,32.8,44.8,90.9,35.2,6.3,0,30.7,0,32.2,37.1,64.3,11.8
Sudan,14.8,19.7,30.6,22,22.5,7.1,53.8,11.6,12.7,100,9.1,95.1,46.6,66.8,61.8,45,39.3,44.4,69.5,89.4,60.5,87.7,48.3,47,67.7,65.4,64.3,24.7,0
Senegal,33.8,12.3,38.1,13.4,12.9,47.7,0.9,100,100,6.9,38.9,97,84,53.1,22.7,46.4,61.1,15,61.7,69.4,63.3,8,70.3,46.8,82.4,52.9,46.2,38.6,0.5
Singapore,61.8,100,57.4,100,88.7,85.4,99.6,29.2,29.2,0,5,42,23,45.1,18.4,68.8,54.4,28.7,40.3,91.3,100,31.5,24.7,34.6,11.9,100,59,19.7,100
Solomon Islands,40.1,0,100,13.6,14.3,25.5,0,1.6,1.6,0.8,6.2,62.5,0,76.2,25.5,100,80.8,41.9,43.8,69.4,47.8,63.9,16.7,48.4,100,78.4,36.6,8.6,0
Sierra Leone,37.3,7,36.9,11.7,11.4,37.4,0,54.5,92.9,6,14.8,77.9,80.9,48.8,3.8,63.6,58.7,7.9,26.4,89.4,14.9,52.8,0,36.4,99.3,49.3,30.9,42.7,0
El Salvador,44.8,38.6,49.6,43.1,40.6,35.5,55.5,41.3,43.8,2.7,27.9,84.2,26.2,44.7,32.7,42.9,38.6,40.4,100,89.3,100,100,96.8,45.2,76.8,100,72.6,23.9,0.1
Serbia,28.1,38.7,53.4,73.3,60.3,51.1,44.7,50.3,50.3,71.5,31.4,86.7,96.8,42.8,44.5,58.8,56.6,57.2,99.8,89.8,96,89.5,41.9,34.9,23.1,78.8,99.2,69.9,1.7
Sao Tome and Principe,30.8,16,25.8,37.1,34,45,0,100,100,0,29.6,42.6,70.9,37.2,100,70.6,100,27.3,32.9,86.9,18.4,50.7,71.7,97.4,95.8,56.4,37.9,18.2,0.3
Suriname,30.3,39.3,99.5,45.4,35.3,43.2,0,57.5,84.4,0,98,91.9,84.3,78.1,47.1,100,77.5,45.2,56,100,65.7,68.7,22.1,25.6,41.6,70.1,94.6,59.4,0
Slovakia,43.1,75.2,49.7,82.8,64.5,69.2,80.6,100,100,100,46.2,86.4,100,47.3,26.3,68.1,100,69,79.5,87.5,100,61.6,48.5,64.2,30.5,100,100,68.8,43.7
Slovenia,62.5,60.6,45.6,81.4,70.1,88.1,83.8,100,100,100,55.8,84,100,51,31.9,68.8,100,70.9,100,91.4,79.2,66.4,46.6,58.4,28.2,100,80,47,89.1
Sweden,100,100,64.7,99.7,97.7,98,99.8,61.7,63.7,100,33.2,69.8,99.3,71.6,19.8,44.4,47.1,68.6,100,98.2,76.7,100,57.3,68.4,37,100,100,63.6,100
Eswatini,24.1,15.5,32.5,13.2,12.1,40.2,0,24.7,21.3,39.6,34.8,76.2,59.3,45,21,72.6,29.8,41.9,100,89.8,71.6,62.6,90.2,50.2,69.7,68.6,52.3,41.1,5.7
Seychelles,39.2,72.3,62.4,60.1,45.7,68.6,0,100,100,100,7.5,91.3,99.3,23.6,83.5,100,100,83.7,19.6,89.7,46.4,93.3,100,95.8,43.5,96.1,76.5,8.8,1.6
Chad,42.4,5.3,28.4,0,0,29.1,0,68.1,77.4,71.5,19.2,91.3,83.3,67,18.6,52.1,57,20.7,0,69.4,0,43.5,37.6,0,46.5,57.6,51.7,38.7,0
Togo,33.7,10.7,26.8,5.6,4.8,43.7,1,98.5,98.4,0,34.9,92.4,73.5,47,23.5,40.2,100,31.2,32.4,89.4,34.6,11.2,63.9,55.4,91.4,30.4,69.3,39.8,0
Thailand,41.1,40.1,39.8,75.8,42.5,81.6,32.9,76.7,59.1,16.9,21.8,69.9,84.1,48.2,23.3,38.7,28.3,38.2,85.4,94.4,65.7,42.6,35.5,40.4,37.7,100,57.4,33.1,2
Tajikistan,10.7,20.5,22.1,29.8,31.6,15.7,0,64,75.5,59.3,27.1,93.3,69.4,58,100,52,100,21.2,29.8,100,27.9,34.4,100,59.8,86.5,28.3,31.4,45.5,2.2
Turkmenistan,11.7,83.2,45.5,46.9,47.6,43.5,59.2,18.8,22.4,43.8,2.7,96.4,68.4,67.1,98.1,58,100,28.3,13.7,89.3,49.7,21,100,76.3,0,53.8,35.8,39.9,9.8
Timor-Leste,49,11.5,40.5,25.6,26.1,34.3,0,94.6,94.6,0,23.8,99.4,95.4,47.6,40.7,100,100,16.9,23.2,89.4,37,66.4,58.3,0,67.2,88.3,41.1,34.9,0.3
Tonga,49.6,24.3,50.5,52,42.7,78.8,27.2,58.3,58.3,0.5,5,44.1,79.4,59.2,65.8,43.8,43,45.7,74.4,94.6,100,87.5,91.5,42.6,69.9,100,31,34.1,0.3
Trinidad and Tobago,30.1,89.6,96,60.9,48.3,82,10.4,99.4,98.8,0.4,92.2,62.5,89,52.6,36.4,31.5,30.3,51.7,3.6,89.6,45.6,85.9,72,10.8,0,100,55.7,5.2,3.2
Tunisia,26.2,81.1,36.3,58,48.9,36.5,39.6,32,37.1,9.9,4.1,90.9,59.3,58.4,16,61.8,100,59,69.6,89.6,67.7,76.5,0,51.4,61,91,77.3,24.3,43
Turkey,32.3,76.2,25.7,61.2,46.9,61.5,48.5,1.1,1.4,0,10.9,87,3.3,44.3,35.6,53.6,47.5,35.5,87.7,87.2,0,50.2,64.2,56.6,38.5,82.8,85.2,57.4,30.4
Taiwan,47.9,61.2,47.3,80.3,67.1,73.6,0,100,100,8.4,21.2,69.8,90.4,51.4,51.2,36.6,25.3,52.5,74.4,90.6,59.8,78.8,67,100,16,100,100,53.4,7.1
Tanzania,53,10.6,47.8,18.6,18.2,43.6,0,99.4,98.9,9.6,67.3,83.7,86.3,53.9,25.7,47,56.9,4.9,32.6,89.6,37.5,28.6,39.9,57.6,81.6,58.3,21.9,44,1.4
Uganda,48,11.3,33.7,17.5,17.6,41.9,4.9,95.2,95.3,71.5,37.3,86.8,92.6,53.8,20.1,59.2,66.6,17.6,36.6,86.9,39.6,40,23.9,51.6,93.3,46,42.9,38.7,0.4
Ukraine,30.6,51.1,50.6,55.2,55,69.3,73.1,23.8,26,26.1,17.5,84.2,80.4,43,25.2,62.7,86.9,61.9,87.4,87.9,66.2,80.9,57,68.2,42.5,64.9,88.4,79.5,14.1
Uruguay,71,64.6,56.1,84.5,61.6,62.3,48.9,20,20.1,3.3,6.6,72.2,32.6,52,16.7,81.6,38,48.7,87.3,73.9,73.4,3.3,23.7,64.7,21,54.7,18.1,71.4,2.1
United States of America,78.8,98,34.3,81.4,89.2,75.9,48.3,53.8,61.6,100,15.8,83.9,86.3,58.2,23.2,59.3,59,67,76.7,94.2,78.1,100,73.5,56.7,4.5,100,100,71.9,58.9
Uzbekistan,0.3,32.8,34.5,49.2,53.8,27.8,0,19.2,35,39.6,1.7,75.2,49.2,65.9,72.2,52.2,56,67.9,44,78.7,21.2,97.2,91.6,97.1,43.2,68.5,73.2,47.5,0
Saint Vincent and the Grenadines,32.1,50,100,47.4,41,34.7,72.8,68.4,63.7,2.1,70.2,44.1,69.3,42.6,57.2,100,0,67.2,88.3,89.4,70.8,36.2,60,50.4,68.5,38.6,39.2,35.4,0.8
Venezuela,33.7,74.9,55.8,51.7,43.5,43.1,0,100,100,20.1,73,89.1,87.5,61.1,38.4,57.3,62.8,57.8,83.3,95.9,68.4,61.3,71.7,6.8,30.2,24.1,58.6,22.9,6.4
Viet Nam,36.6,24.9,38.7,55.7,50.7,47.8,22.8,43.9,28,3.8,25,39.4,66.6,50.8,14.1,39.7,35.5,20.6,54.4,89.4,36.8,46.3,8.1,45.6,59,51.5,40,50.3,0.3
Vanuatu,42.2,5.9,59.1,21.7,21.3,45.6,31.4,24.1,24.1,0.1,10.6,99,23,70.5,47,100,54.4,19.1,67.2,69.4,61,37.5,2.7,29.4,68.3,7.3,25.5,33,0
Samoa,46.3,14.4,43.2,62.5,40.3,68.6,51.7,42.5,42.5,0.9,1.5,53.5,48.3,65.8,26.3,47.8,100,30.8,48.7,89.6,32,55.5,0,5.9,67.3,58.5,29.6,27.7,0.3
South Africa,22.7,36.2,38.5,26.7,23.2,58.8,77,41.9,45.2,100,24.4,95.1,79.4,58.7,17.1,58.3,45.8,58.3,73.3,86.3,83.4,49.1,58.4,50.2,22,68.6,70.7,54.4,21.7
Zambia,36.9,12.5,34,13.9,13.1,42.4,0,100,100,100,68.6,91.8,96.7,65.8,27.6,61.6,63.8,0.3,51.5,89.6,50.4,33.1,24.2,61.6,70.5,0,45.1,36.6,4.2
Zimbabwe,38.2,10.2,40.8,17.8,16.1,32.6,11,99.7,99.1,100,54.1,91.2,94.8,58,20.8,47.8,39,10.2,90.2,89.4,100,30.7,65.9,82.6,73.8,48.2,33.7,23.6,0
